Closing (Year),Place,History Lost (Years),Reason
2008,Jefferson Market,79,"Money trouble, now sales office for billion-dollar luxury condo project at St. Vincent's"
2008,Fazil's Times Square Studio,73,Closed for building demolition
2008,Astroland amusement park,46,Sold to Thor Equities for redevelopment
2008,Donnell Library,53,Closed and demolished for a luxury hotel
2008,The Minetta Tavern,71,"Landlord raised the rent, gave lease to upscale restaurateur"
2008,Bobby's Happy House,61,Building sold for a big-box chain store
2008,Chez Brigitte,50,"Rent doubled, replaced by frozen yogurt chain"
2008,Cafe Figaro,39,"Lost their lease, became fast-food burrito chain and bank"
2008,Yankee Stadium,85,Demolished and replaced with an upscale ballpark
2008,Shea Stadium,44,"Demolished and replaced with upscale, corporate-named Citi-Field"
2008,Florent,24,"Closed due to rent hike, from $6,000 to $50,000 per month"
2008,Vesuvio Bakery,88,Sold
2008,M&G Diner,40,Sold and shuttered
2008,Cheyenne Diner,68,"Lost its lease, moved away"
