Closing (Year),Place,History Lost (Years),Reason
2012,Rocco Ristorante,90,"Lost lease to trendy restaurateurs, gutted and upscaled"
2012,The Holiday Cocktail Lounge,47,Sold and gutted for a gastropub
2012,Kenny's Castaway's,45,Rising cost of business
2012,"McCullough's Kiddie Park, Coney Island",50,Lost their lease
2012,Manganaro's Grosseria,119,Sold and gutted for a more upscale restaurant
2012,A Clean Well-Lighted Place,36,Now an upscale boutique
2012,World of Video,29,Lost its lease
2012,Chelsea Gallery Diner,30,Forced out of Chelsea
2012,Bill's Gay 90s,88,"Lost its lease to a trendy restaurateur, gutted and upscaled"
2012,Atlas Barber School,64,"Lost lease due to hiked rent, now a UPS"
2012,Prime Burger,47,Lost lease when building sold
2012,Lascoff Pharmacy,113,Closed and gutted
2012,Colony Records,60,"Closed when the new landlord, Stonehenge Properties, quintupled the rent to $5 million per month"
2012,Movie Star News,73,"Rent hiked, turned into a luxury bathroom fixture store"
2012,Lafayette French Bakery,30+,Evicted
2012,Partners & Crime Bookshop,18,Closed due to lack of business
2012,University Diner,60,Evicted
2012,El Faro,85,"Possibly evicted? Needed to raise 80K to correct code violations ""Apparently, the restaurant has received calls and emails of support from customers around the world since it closed. El Faro still has a devoted clientele, noting, ""People have their packages delivered to us. It's like an extension of their house...We delivered food to some of our elderly [customers] and even brought them milk and bread if they couldn't leave home.""; 822 Greenwich St"
2012,Village Chess Shop,40,Closed due to lack of business
2012,The Stage Deli,75,Rent increase
2012,Lenox Lounge,63,"Landlord doubled the rent, given to upscale restaurateur"
2012,H&H Bagels,40,Last location evicted
